Ref,Val,Package,PosX,PosY,Rot,Side
"C15","1µ/25V","C_0805_2012Metric",177.010000,-159.930000,90.000000,bottom
"C17","1µ/25V","C_0805_2012Metric",166.900000,-150.540000,0.000000,bottom
"C25","100n/0.7mm","C_0805_2012Metric",162.930000,-150.150000,0.000000,bottom
"C26","1µ/25V","C_0805_2012Metric",181.000000,-156.540000,0.000000,bottom
"C27","1µ/25V","C_0805_2012Metric",166.900000,-148.540000,0.000000,bottom
"C28","1µ/25V","C_0805_2012Metric",166.900000,-146.540000,0.000000,bottom
"C29","10uF","C_0603_1608Metric",171.900000,-150.825000,-90.000000,bottom
"C30","1µ/25V","C_0805_2012Metric",168.850000,-144.500000,0.000000,bottom
"C31","100µF","C_1206_3216Metric",174.000000,-151.175000,-90.000000,bottom
"C32","100µF","C_1206_3216Metric",194.000000,-151.125000,-90.000000,bottom
"C33","1µ/25V","C_0805_2012Metric",179.150000,-144.600000,0.000000,bottom
"C34","10uF","C_0603_1608Metric",176.100000,-150.825000,-90.000000,bottom
"C35","1µ/25V","C_0805_2012Metric",181.100000,-146.530000,0.000000,bottom
"C36","1µ/25V","C_0805_2012Metric",181.100000,-148.540000,0.000000,bottom
"C37","1µ/25V","C_0805_2012Metric",181.100000,-150.540000,0.000000,bottom
"C38","1µ/25V","C_0805_2012Metric",170.960000,-159.920000,90.000000,bottom
"C39","100µF","C_1206_3216Metric",52.225000,-102.750000,180.000000,bottom
"C40","1µ/25V","C_0805_2012Metric",166.990000,-157.350000,180.000000,bottom
"C41","1µ/25V","C_0805_2012Metric",197.010000,-159.930000,90.000000,bottom
"C42","1µ/25V","C_0805_2012Metric",186.900000,-150.540000,0.000000,bottom
"C43","1µ/25V","C_0805_2012Metric",187.000000,-156.540000,180.000000,bottom
"C44","1µ/25V","C_0805_2012Metric",186.900000,-148.540000,0.000000,bottom
"C46","1µ/25V","C_0805_2012Metric",186.900000,-146.540000,0.000000,bottom
"C47","10uF","C_0603_1608Metric",196.100000,-150.825000,-90.000000,bottom
"C49","1µ/25V","C_0805_2012Metric",188.850000,-144.600000,0.000000,bottom
"C50","100µF","C_1206_3216Metric",193.900000,-173.775000,90.000000,bottom
"C51","100µF","C_1206_3216Metric",173.900000,-173.775000,90.000000,bottom
"C52","1µ/25V","C_0805_2012Metric",199.150000,-144.600000,0.000000,bottom
"C53","10uF","C_0603_1608Metric",191.800000,-150.825000,-90.000000,bottom
"C54","1µ/25V","C_0805_2012Metric",201.100000,-146.530000,0.000000,bottom
"C55","1µ/25V","C_0805_2012Metric",201.100000,-148.540000,0.000000,bottom
"C56","1µ/25V","C_0805_2012Metric",201.100000,-150.540000,0.000000,bottom
"C57","1µ/25V","C_0805_2012Metric",190.960000,-159.920000,90.000000,bottom
"C58","1µ/25V","C_0805_2012Metric",201.000000,-156.540000,0.000000,bottom
"C59","1µ/25V","C_0805_2012Metric",197.010000,-164.930000,-90.000000,bottom
"C60","1µ/25V","C_0805_2012Metric",200.990000,-174.400000,180.000000,bottom
"C61","1µ/25V","C_0805_2012Metric",187.070000,-168.370000,180.000000,bottom
"C62","1µ/25V","C_0805_2012Metric",200.990000,-176.400000,180.000000,bottom
"C63","1µ/25V","C_0805_2012Metric",200.990000,-178.400000,180.000000,bottom
"C64","10uF","C_0603_1608Metric",191.900000,-174.125000,90.000000,bottom
"C65","1µ/25V","C_0805_2012Metric",199.150000,-180.400000,180.000000,bottom
"C66","100µF","C_1206_3216Metric",95.000000,-173.975000,90.000000,bottom
"C67","100µF","C_1206_3216Metric",75.100000,-173.625000,90.000000,bottom
"C68","1µ/25V","C_0805_2012Metric",188.850000,-180.400000,180.000000,bottom
"C69","10uF","C_0603_1608Metric",196.000000,-174.175000,90.000000,bottom
"C70","1µ/25V","C_0805_2012Metric",186.990000,-178.400000,180.000000,bottom
"C71","1µ/25V","C_0805_2012Metric",186.990000,-176.400000,180.000000,bottom
"C72","1µ/25V","C_0805_2012Metric",186.990000,-174.400000,180.000000,bottom
"C73","1µ/25V","C_0805_2012Metric",190.960000,-164.920000,-90.000000,bottom
"C74","1µ/25V","C_0805_2012Metric",200.990000,-168.400000,0.000000,bottom
"C75","1µ/25V","C_0805_2012Metric",177.010000,-164.930000,-90.000000,bottom
"C76","1µ/25V","C_0805_2012Metric",180.990000,-174.400000,180.000000,bottom
"C77","1µ/25V","C_0805_2012Metric",167.070000,-168.370000,180.000000,bottom
"C78","1µ/25V","C_0805_2012Metric",180.990000,-176.400000,180.000000,bottom
"C79","1µ/25V","C_0805_2012Metric",181.060000,-178.400000,180.000000,bottom
"C80","10uF","C_0603_1608Metric",176.100000,-174.075000,90.000000,bottom
"C84","100µF","C_1206_3216Metric",58.775000,-102.750000,0.000000,bottom
"C85","1µ/25V","C_0805_2012Metric",179.150000,-180.400000,180.000000,bottom
"C87","100n/0.7mm","C_0805_2012Metric",122.100000,-84.950000,90.000000,bottom
"C88","100n/0.7mm","C_0805_2012Metric",184.000000,-162.500000,0.000000,bottom
"C93","100µF","C_1206_3216Metric",74.900000,-151.275000,-90.000000,bottom
"C94","100µF","C_1206_3216Metric",94.800000,-151.025000,-90.000000,bottom
"C98","100µF","C_1206_3216Metric",77.775000,-107.250000,180.000000,bottom
"C114","22p","C_0603_1608Metric",118.919218,-48.296644,90.000000,bottom
"C115","22p","C_0603_1608Metric",121.559218,-51.301644,180.000000,bottom
"C116","22p","C_0603_1608Metric",121.634218,-45.831644,0.000000,bottom
"C121","1µ/25V","C_0805_2012Metric",168.850000,-180.400000,180.000000,bottom
"C122","10uF","C_0603_1608Metric",171.600000,-174.075000,90.000000,bottom
"C123","1µ/25V","C_0805_2012Metric",166.990000,-178.400000,180.000000,bottom
"C124","1µ/25V","C_0805_2012Metric",166.990000,-176.400000,180.000000,bottom
"C125","1µ/25V","C_0805_2012Metric",166.990000,-174.400000,180.000000,bottom
"C126","1µ/25V","C_0805_2012Metric",170.960000,-164.920000,-90.000000,bottom
"C127","1µ/25V","C_0805_2012Metric",180.990000,-168.400000,0.000000,bottom
"C128","1µ/25V","C_0805_2012Metric",98.010000,-164.930000,-90.000000,bottom
"C129","1µ/25V","C_0805_2012Metric",101.990000,-174.400000,180.000000,bottom
"C130","1µ/25V","C_0805_2012Metric",88.070000,-168.370000,180.000000,bottom
"C131","1µ/25V","C_0805_2012Metric",101.990000,-176.400000,180.000000,bottom
"C132","1µ/25V","C_0805_2012Metric",102.050000,-178.400000,180.000000,bottom
