Designator,Footprint,Quantity,Value,LCSC Part #
"_11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,11,,
C1,0805,1,2.2n,
"C10, C101, C102, C103, C107, C11, C122, C138, C14, C154, C16, C170, C176, C178, C198, C200, C220, C229, C25, C34, C53, C69, C82, C83, C87, C88, C96",0805,27,100n/0.7mm,
"C100, C133, C149, C165, C205, C29, C47, C64, C80",0805,9,10µ/25V,
C104,0805,1,10n,
"C105, C108, C113, C118, C121, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C134, C136, C137, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C15, C150, C152, C153, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C166, C168, C169, C17, C171, C172, C173, C174, C175, C182, C195, C196, C197, C203, C204, C211, C213, C216, C219, C221, C225, C226, C227, C228, C26, C27, C28, C30, C32, C33, C35, C36, C37, C38, C40, C41, C42, C43, C44, C46, C49, C51, C52, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C65, C67, C68, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C85, C94",0805,112,1µ/25V,
C106,1206,1,22µ/16V,
"C109, C110, C179, C18, C180, C19, C2, C201, C202, C4, C9",0805,11,1n/0.7mm,
"C111, C191, C192, C193, C20, C222, C223, C224, C23, C45, C81, C89",1210,12,22µ/25V,
"C112, C117, C181, C215",0805,4,3.3n/25V,
"C114, C115, C116",0603,3,22p,
"C119, C120, C183, C217",0805,4,10µ,
"C12, C13, C177, C199",0805,4,2.2µ,
"C135, C151, C167, C184, C185, C206, C207, C21, C212, C22, C24, C31, C39, C50, C66, C93",1210,16,100µ/6.3V,
"C186, C187, C188, C189, C194, C208, C209, C210, C214, C48, C84, C86, C90, C91, C95, C97, C98, C99",1210,18,330µ/4V,
"C190, C218, C92",CP_Elec_8x10,3,220µ/25V,
C3,0603,1,12p,
C5,0805,1,330n,
C7,0805,1,4.7µ,
D1,D_SMB,1,SMBJ12A,
D2,D_SOD-128,1,"PMEG4030EP,115",
D3,D_SOD-123,1,1N5819,
F1,Fuseholder Blade_3568,1,3568,
"L1, L2, L4, L5",IFLR-4031GC-01-8x10,4,220nH,
L3,L_Taiyo-Yuden_NR-50xx,1,4.7µH/2.3A/2.7A,
"M1, M2",FanPinHeader_1x04_P2.54mm_Vertical,2,Fan_4pin,
R1,0805,1,16.5k,
"R10, R14, R16, R18, R20, R22, R24, R31, R36, R37, R38, R42, R8",0805,13,10k,
"R11, R15, R17, R19, R21, R23, R41, R9",0805,8,1k,
"R12, R13",0805,2,2.2R/0.5W,
R2,0805,1,24.3k,
"R25, R26, R27, R28, R47, R48, R52, R53",0805,8,1R/0.5W,
"R29, R30",0805,2,0,
R3,0805,1,33.2k,
R32,0805,1,84.5k,
"R33, R35",0805,2,2.7k,
R34,0805,1,16.2k,
"R39, R40",0805,2,100,
R4,0805,1,100k,
R5,0805,1,121k,
R6,0805,1,8.06k,
R7,0805,1,2.55k,
"U1, U16, U4, U5",CSD95472-SON-5x6,4,CSD95472Q5MC,
"U10, U11, U12, U13, U14, U15, U2, U9",BM1370,8,BM1370_mode1,
"U17, U37, U38",TMP1075-DRL,3,TMP1075,
U3,Texas_RHA0040B_VQFN-40-1EP_6x6mm_P0.5mm_EP4.15x4.15mm_ThermalVias,1,TPS53647,
U30,T-Display-S3,1,T-Display-S3,
U32,MSOP-10_3x3mm_P0.5mm,1,EMC2302-1,
U33,VSSOP-8_2.3x2mm_P0.5mm,1,TXU0102-DCU,
U35,TSSOP-14-1EP_4.4x5mm_P0.65mm,1,TXU0304PW,
U36,SOT-23-5,1,MCP1824T-1202E,
U6,SOT-23-6,1,AP3211,
U7,SOT-23-5,1,MCP1824T-0802E,
U8,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,25MHz,
