Designator,Mid X,Mid Y,Rotation,Layer
_3,185.009218,-214.951644,0.0,top
_2,185.009218,-34.951644,0.0,top
,39.509218,-214.951644,0.0,top
C1,114.249218,-51.101644,270.0,top
C10,80.279218,-67.536644,180.0,top
C100,68.929218,-55.261644,90.0,top
C101,176.529218,-60.681644,180.0,top
C102,101.209218,-50.291644,180.0,top
C103,105.456218,-36.142642,0.0,top
C104,83.339218,-54.831644,270.0,top
C105,176.529218,-67.401644,180.0,top
C106,71.049218,-51.341644,180.0,top
C107,180.159218,-60.681644,180.0,top
C108,180.159218,-67.401644,180.0,top
C109,76.719218,-68.301644,270.0,top
C11,80.429218,-78.136644,180.0,top
C110,76.779218,-78.841644,270.0,top
C111,70.080983,-96.051644,270.0,top
C112,74.649218,-70.236644,90.0,top
C113,72.639218,-70.236644,90.0,top
C114,118.919218,-48.296644,90.0,bottom
C115,121.559218,-51.301644,0.0,bottom
C116,121.634218,-45.831644,180.0,bottom
C117,74.659218,-61.016644,90.0,top
C118,72.639218,-61.016644,90.0,top
C119,84.299218,-79.056644,180.0,top
C12,83.389218,-65.311644,270.0,top
C120,84.189218,-68.086644,180.0,top
C121,53.580983,-179.841644,180.0,bottom
C122,68.140983,-181.351644,90.0,bottom
C123,53.530983,-175.901644,180.0,bottom
C124,82.580983,-179.841644,180.0,bottom
C125,53.530983,-173.901644,180.0,bottom
C126,99.130983,-181.351644,270.0,bottom
C127,52.560983,-171.231644,180.0,bottom
C128,82.570983,-181.851644,0.0,bottom
C129,70.130983,-181.351644,270.0,bottom
C13,83.319218,-76.266644,270.0,top
C130,50.480983,-142.951644,180.0,bottom
C131,53.570983,-181.851644,0.0,bottom
C132,63.520983,-175.351644,270.0,bottom
C133,86.580983,-169.941644,0.0,bottom
C134,92.520983,-175.351644,270.0,bottom
C135,59.530983,-175.351644,270.0,bottom
C136,72.870983,-174.001644,270.0,bottom
C137,88.530983,-175.351644,270.0,bottom
C138,70.850983,-174.001644,270.0,bottom
C139,61.530983,-175.351644,270.0,bottom
